symbol	old_symbol
C10orf95-AS1	RPARP-AS1
C10orf99	UNQ1833
C10orf99	RLLV1833
C10orf99	FLJ21763
C10orf99	CSBF
C10orf99	AP-57
C11orf1	FLJ23499
C11orf16	
C11orf21	
C11orf24	DM4E3
C11orf40	NOV1
C11orf42	MGC34805
C11orf45	MGC35558
C11orf45	FLJ43646
C11orf49	FLJ22210
C11orf49	MGC4707
C11orf52	MGC14839
C11orf52	FLJ25219
C11orf53	MGC50104
C11orf54	PTD012
C11orf58	SMAP
C11orf65	MGC33948
C11orf65	MFI
C11orf68	P5326
C11orf68	BLES03
C11orf71	FLJ20010
C11orf72	FLJ90834
C11orf80	FLJ22531
C11orf80	TOPOVIBL
C11orf86	FLJ22675
C11orf87	LOH11CR1A
C11orf87	LOC399947
C11orf87	NEURIM1
C11orf91	
C11orf94	
C11orf95	MGC3032
C11orf96	AG2
C11orf97	LINC01171
C11orf98	C11orf48
C11orf98P1	
C12orf29	DKFZp434N2030
C12orf4	
C12orf40	FLJ40126
C12orf42	FLJ25323
C12orf43	FLJ12448
C12orf43	Custos
C12orf45	MGC40397
C12orf50	FLJ35821
C12orf54	MGC35033
C12orf56	
C12orf57	GRCC10
C12orf57	C10
C12orf60	MGC47869
C12orf66	FLJ32549
C12orf71	LOC728858
C12orf73	FLJ13975
C12orf73	DKFZp547P055
C12orf73	BRAWNIN
C12orf75	OCC-1
C12orf75	OCC1
C12orf75	AGD3
C12orf76	FLJ40142
C12orf77	
C13orf42	LINC00371
C13orf46	
C14orf119	FLJ20671
C14orf132	C14orf88
C14orf177	FLJ25773
C14orf178	FLJ25976
C14orf180	NRAC
C14orf180	C14orf77
C14orf28	DRIP-1
C14orf28	DRIP1
C14orf39	SIX6OS1
C14orf93	FLJ12154
C14orf93	RTFC
C15orf32	FLJ32831
C15orf39	DKFZP434H132
C15orf39	FLJ46337
C15orf40	MGC29937
C15orf48	NMES1
C15orf48	MIR147BHG
C15orf48	COXFA4L3
C15orf54	FLJ39531
C15orf56	FLJ38596
C15orf61	LOC145853
C15orf62	LOC643338
C15orf65	FLJ27352
C16orf46	FLJ32702
C16orf54	FLJ35681
C16orf70	lin-10
C16orf70	FLJ12076
C16orf70	C16orf6
C16orf70	LIN10
C16orf71	FLJ43261
C16orf71	DKFZp686H2240
C16orf72	FLJ41272
C16orf72	PRO0149
C16orf74	MGC17624
C16orf78	MGC33367
C16orf82	TNT
C16orf86	FLJ41802
C16orf87	
C16orf89	MGC45438
C16orf90	LOC646174
C16orf91	gs103
C16orf91	CCSMST1
C16orf91	URLC5
C16orf92	FLJ25404
C16orf95	
C16orf95-DT	
C16orf96	
C16orf97	
C17orf100	LOC388327
C17orf102	FLJ44815
C17orf107	
C17orf113	
C17orf114	
C17orf49	MGC49942
C17orf49	BAP18
C17orf49	HEPIS
C17orf50	
C17orf58	
C17orf64	
C17orf67	
C17orf75	NJMU-R1
C17orf75	SRI2
C17orf77	FLJ31882
C17orf78	FLJ39647
C17orf80	HLC-8
C17orf80	MIG3
C17orf80	FLJ20721
C17orf80	SPEP1
C17orf97	LOC400566
C17orf97	LIAT1
C17orf98	LOC388381
C17orf99	GLPG464
C17orf99	UNQ464
C18orf12	HEIL1
C18orf12	HsT2508
C18orf15	FLJ31338
C18orf15	HsT3231
C18orf21	PNAS-131
C18orf21	PNAS-124
C18orf21	HsT3108
C18orf25	MGC12909
C18orf25	ARKL1
C18orf25	RNF111L1
C18orf25	Ark2N
C18orf32	FLJ23458
C18orf54	MGC33382
C18orf54	LAS2
C18orf63	DKFZP781G0119
C19orf12	MGC10922
C19orf12	DKFZP762D096
C19orf12	NBIA4
C19orf12	MPAN
C19orf12	SPG43
C19orf18	MGC41906
C19orf25	FLJ36666
C19orf33	IMUP-1
C19orf33	IMUP-2
C19orf33	H2RSP
C19orf33	IMUP
C19orf38	HIDE1
C19orf44	FLJ21742
C19orf47	FLJ36888
C19orf48	MGC13170
C19orf48	BC006151
C19orf53	HSPC023
C19orf53	LYDG10
C19orf54	FLJ41131
C19orf67	
C19orf71	LOC100128569
C19orf73	FLJ10490
C19orf81	
C19orf84	
C19orf85	
C1D	SUNCOR
C1D	SUN-CoR
C1D	LRP1
C1D	Rrp47
C1DP1	bA195O1.1
C1DP2	bA369J21.3
C1DP3	bA369J21.2
C1DP4	
C1DP5	
C1GALT1	C1GALT
C1GALT1	T-synthase
C1GALT1C1	COSMC
C1GALT1C1	C1GALT2
C1GALT1C1L	
C1GALT1P1	
C1GALT1P2	
C1GALT1P3	
C1orf100	
C1orf105	
C1orf109	FLJ20508
C1orf112	FLJ10706
C1orf115	FLJ14146
C1orf115	RDD1
C1orf116	SARG
C1orf116	FLJ36507
C1orf116	MGC2742
C1orf116	MGC4309
C1orf122	FLJ45459
C1orf127	FLJ37118
C1orf131	DKFZp547B1713
C1orf141	
C1orf146	SPO16
C1orf147	FLJ32597
C1orf158	MGC35194
C1orf159	FLJ20584
C1orf162	MGC24133
C1orf167	DKFZp434E1410
C1orf167	RP11-56N19.2
C1orf167-AS1	
C1orf174	RP13-531C17.2
C1orf185	FLJ27485
C1orf189	
C1orf194	
C1orf195	
C1orf198	FLJ14525
C1orf198	MGC10710
C1orf198	FLJ16283
C1orf198	DKFZp667D152
C1orf198	FLJ38847
C1orf21	PIG13
C1orf21-DT	
C1orf210	MGC52423
C1orf210	TEMP
C1orf216	FLJ38984
C1orf220	FLJ35530
C1orf226	FLJ13137
C1orf229	FLJ45717
C1orf232	
C1orf35	MGC4174
C1orf35	MMTAG2
C1orf43	NICE-3
C1orf43	DKFZp586G1722
C1orf50	MGC955
C1orf52	gm117
C1orf52	FLJ44982
C1orf53	
C1orf54	FLJ23221
C1orf56	FLJ20519
C1orf56	MENT
C1orf68	LEP7
C1orf68	XP32
C1orf74	FLJ25078
C1orf74	URLC4
C1orf87	MGC34837
C1orf87	CREF
C1orf94	MGC15882
C1QA	
C1QB	
C1QBP	gC1Q-R
C1QBP	gC1qR
C1QBP	p32
C1QBP	SF2p32
C1QBP	HABP1
C1QBPP1	C1QBPP
C1QBPP2	
C1QBPP3	
C1QC	C1QG
C1QL1	CRF
C1QL1	C1QRF
C1QL1	C1QTNF14
C1QL1	CTRP14
C1QL1P1	
C1QL2	CTRP10
C1QL2	C1QTNF10
C1QL3	K100
C1QL3	C1ql
C1QL3	C1QTNF13
C1QL3	CTRP13
C1QL4	C1QTNF11
C1QL4	CTRP11
C1QTNF1	CTRP1
C1QTNF1	ZSIG37
C1QTNF1	GIP
C1QTNF1	FLJ90694
C1QTNF1-AS1	
C1QTNF12	MGC105127
C1QTNF12	CTRP12
C1QTNF12	ADIPOLIN
C1QTNF12	C1QDC2
C1QTNF12	FAM132A
C1QTNF2	CTRP2
C1QTNF3	CTRP3
C1QTNF3	Cors
C1QTNF3	Corcs
C1QTNF3	2310005P21Rik
C1QTNF3	Cors-26
C1QTNF3-AMACR	
C1QTNF4	CTRP4
C1QTNF4	ZACRP4
C1QTNF5	CTRP5
C1QTNF5	DKFZp586B0621
C1QTNF5	LORD
C1QTNF6	CTRP6
C1QTNF6	ZACRP6
C1QTNF7	CTRP7
C1QTNF7-AS1	
C1QTNF8	UNQ5829
C1QTNF8	CTRP8
C1QTNF9	MGC48915
C1QTNF9	CTRP9
C1QTNF9	C1QTNF9A
C1QTNF9	AQL1
C1QTNF9-AS1	
C1QTNF9B	CTRP9B
C1R	
C1RL	C1r-LP
C1RL	C1RL1
C1RL-AS1	MATL2963
C1S	
C2	
C2-AS1	
C20orf141	dJ860F19.4
C20orf144	dJ63M2.6
C20orf144	bclt
C20orf173	dJ477O4.4
C20orf181	dJ824A14.1
C20orf194	DKFZp434N061
C20orf197	FLJ33860
C20orf202	
C20orf203	FLJ33706
C20orf204	DKFZp434G015
C20orf204	FLJ27267
C20orf204	PRR17
C20orf204	NCRNA00176
C20orf204	LINC00176
C20orf27	FLJ20550
C20orf85	bA196N14.1
C20orf85	LLC1
C20orf96	dJ1103G7.2
C21orf58	
C21orf62	B37
C21orf62	PRED81
C21orf62	C21orf120
C21orf62-AS1	C21orf49
C21orf91	YG81
C21orf91	EURL
C21orf91	CSSG1
C21orf91	C21orf38
C21orf91	C21orf14
C21orf91-OT1	D21S2089E
C21orf91-OT1	NCRNA00285
C22orf15	FLJ36561
C22orf15	N27C7-3
C22orf23	FLJ32787
C22orf23	EVG1
C22orf23	LOC84645
C22orf24	HSN44A4A
C22orf31	HS747E2A
C22orf31	bK747E2.1
C22orf34	
C22orf39	MGC74441
C22orf42	
C22orf46	FLJ23584
C22orf46	CTA-216E10.6
C2CD2	TMEM24L
C2CD2	DKFZP586F0422
C2CD2	C21orf258
C2CD2	C21orf25
C2CD2L	KIAA0285
C2CD2L	TMEM24
C2CD3	DKFZP586P0123
C2CD4A	NLF1
C2CD4A	FAM148A
C2CD4B	NLF2
C2CD4B	FAM148B
C2CD4C	NLF3
C2CD4C	KIAA1957
C2CD4C	FAM148C
C2CD4D	FAM148D
C2CD4D-AS1	
C2CD5	CDP138
C2CD5	KIAA0528
C2CD6	FLJ25351
C2CD6	ALS2CR11
C2orf15	MGC29762
C2orf16	DKFZp434G118
C2orf27A	C2orf27
C2orf42	FLJ20558
C2orf49	MGC5509
C2orf49	asw
C2orf49-DT	
C2orf50	FLJ25143
C2orf66	UNQ6411
C2orf68	
C2orf69	FLJ38973
C2orf69P1	
C2orf69P2	
C2orf69P3	
C2orf69P4	
C2orf69P5	
C2orf72	LOC257407
C2orf73	FLJ40298
C2orf74	LOC339804
C2orf76	MGC104437
C2orf76	LOC130355
C2orf76	AIM29
C2orf78	FLJ43987
C2orf78	hCG1989538
C2orf78	COG5373
C2orf80	LOC389073
C2orf80	GONDA1
C2orf81	LOC388963
C2orf81	hCG40743
C2orf83	DKFZp547H025
C2orf88	MGC13057
C2orf88	smAKAP
C2orf91	
C2orf92	LINC01125
C3	CPAMD1
C3	ARMD9
C3	C3a
C3	C3b
C3AR1	C3AR
C3AR1	AZ3B
C3CER1	CER1
C3orf14	HT021
C3orf18	G20
C3orf20	DKFZP434N1817
C3orf22	MGC34728
C3orf33	FLJ31139
C3orf33	AC3-33
C3orf35	APRG1
C3orf36	FLJ22173
C3orf38	MGC26717
C3orf49	
C3orf49P1	
C3orf52	FLJ23186
C3orf52	TTMP
C3orf56	FLJ40141
C3orf62	FLJ43654
C3orf70	
C3orf80	
C3orf84	
C3orf85	FLJ22763
C3orf86	LINC00694
C3P1	CPLP
C4A	CPAMD2
C4A	C4S
C4A	CO4
C4A	C4
C4A	C4A3
C4A	C4A2
C4A	C4A4
C4A	C4A6
C4A	C4B
C4A	RG
C4A-AS1	
C4B	CPAMD3
C4B	C4F
C4B	CO4
C4B	C4B1
C4B	C4B3
C4B	CH
C4B_2	
C4B-AS1	
C4BPA	C4BP
C4BPAP1	C4BPAL1
C4BPAP2	C4BPAL2
C4BPAP3	
C4BPB	C4BP
C4orf17	DKFZP434G072
C4orf19	FLJ11017
C4orf3	HCVFTP1
C4orf3	ALN
C4orf33	FLJ33703
C4orf36	MGC26744
C4orf45	FLJ25371
C4orf46	LOC201725
C4orf46	RCDG1
C4orf47	LOC441054
C4orf48	
C4orf50	FLJ46481
C4orf51	
C4orf54	FOPV
C4orf54	LOC285556
C5	CPAMD4
C5	C5a
C5	C5b
C5-OT1	C5T1lncRNA
C5AR1	C5A
C5AR1	C5AR
C5AR1	CD88
C5AR1	C5R1
C5AR2	C5L2
C5AR2	GPR77
C5orf15	KCT2
C5orf15	HTGN29
C5orf17	FLJ34836
C5orf22	FLJ11193
C5orf24	FLJ37562
C5orf34	FLJ32363
C5orf34-AS1	
C5orf38	CEI
C5orf38	IRX2NB
C5orf46	MGC23985
C5orf46	SSSP1
C5orf47	LOC133491
C5orf49	LOC134121
C5orf51	LOC285636
C5orf52	
C5orf58	
C5orf60	
C5orf63	YDR286C
C5orf63	FLJ44606
C5orf64	FLJ37543
C5orf64-AS1	
C5orf66	
C5orf66-AS1	CTC-276P9.1
C5orf66-AS1	Epist
C5orf66-AS2	
C5orf67	
C6	
C6orf118	MGC23884
C6orf118	bA85G2.1
C6orf120	bA160E12.4
C6orf132	bA7K24.2
C6orf136	Em:AB023049.8
C6orf141	MGC46457
C6orf15	STG
C6orf163	
C6orf201	dJ1013A10.5
C6orf223	MGC45491
C6orf226	LOC441150
C6orf47	D6S53E
C6orf47	G4
C6orf47-AS1	
C6orf52	
C6orf58	LEG1
C6orf62	FLJ12619
C6orf62	DKFZP564G182
C6orf62	XTP12
C6orf89	FLJ25357
C6orf89	BRAP
C6orf99	yR211F11.1
C7	
C7orf25	MGC2821
C7orf26	MGC2718
C7orf31	
C7orf33	
C7orf50	MGC11257
C7orf50	YCR016W
C7orf57	
C7orf61	IMAGE:4839025
C7orf65	FLJ44108
C7orf66	
C7orf69	FLJ21075
C7orf77	
C8A	
C8B	
C8G	
C8orf17	MOST-1
C8orf31	FLJ37131
C8orf33	FLJ20989
C8orf34	vest-1
C8orf34	VEST1
C8orf34-AS1	
C8orf37	FLJ30600
C8orf37	CORD16
C8orf37	RP64
C8orf37	BBS21
C8orf37	FAP418
C8orf37	MOT25
C8orf37-AS1	tospeak
C8orf37-AS1	CFAP418-AS1
C8orf44	FLJ11267
C8orf44-SGK3	
C8orf48	FLJ25402
C8orf49	FLJ30972
C8orf49	G4DM
C8orf58	FLJ34715
C8orf74	
C8orf76	FLJ14825
C8orf82	MGC70857
C8orf86	FLJ43582
C8orf87	
C8orf88	
C8orf89	
C9	
C9orf106	bA65J3.5
C9orf116	MGC29761
C9orf116	RbEST47
C9orf116	PIERCE1
C9orf129	bA165J3.3
C9orf131	MGC41945
C9orf135	
C9orf135-DT	C9orf135-AS1
C9orf139	FLJ36268
C9orf139	FLJ42909
C9orf147	bA32M23.3
C9orf152	bA470J20.2
C9orf153	bA507D14.1
C9orf163	FLJ36779
C9orf24	bA573M23.4
C9orf24	NYD-SP22
C9orf24	MGC32921
C9orf24	MGC33614
C9orf24	CBE1
C9orf24	SMRP1
C9orf40	FLJ10110
C9orf43	MGC17358
C9orf47	FLJ37523
C9orf47	bA791O21.3
C9orf47	C9orf108
C9orf50	FLJ35803
C9orf57	
C9orf62	MGC35463
C9orf64	MGC10999
C9orf72	MGC23980
C9orf72	DENNL72
C9orf72	DENND9
C9orf78	HSPC220
C9orf78	HCA59
C9orf78	CSU2
C9orf85	MGC61599
C9orf92	Em:AL513424.1
CA1	Car1
CA10	CARPX
CA10	CA-RPX
CA10	HUCEP-15
CA11	CARP2
CA11	CARPX1
CA12	HsT18816
CA13	CAXIII
CA13	FLJ37995
CA13	MGC59868
CA14	
CA15P1	
CA15P2	
CA15P3	
CA2	Car2
CA2	CA-II
CA2	CAII
CA3	Car3
CA3	CAIII
CA3-AS1	
CA4	CAIV
CA4	Car4
CA4	RP17
CA5A	CAV
CA5A	CAVA
CA5A	CA5
CA5AP1	CA5P
CA5B	
CA5BP1	PRO2325
CA5BP1	CA5BL
CA5BP1	CA5BP
CA6	
CA7	
CA8	CARP
CA8	CALS
CA9	MN
CA9	CAIX
CAAP1	FLJ13657
CAAP1	CAAP
CAAP1	C9orf82
CAB39	CGI-66
CAB39	MO25
CAB39L	bA103J18.3
CAB39L	FLJ12577
CAB39L	MO2L
CAB39P1	
CABCOCO1	bA63A2.1
CABCOCO1	Em:AC022398.2
CABCOCO1	MGC44593
CABCOCO1	C10orf107
CABIN1	KIAA0330
CABIN1	PPP3IN
CABLES1	HsT2563
CABLES1	FLJ35924
CABLES2	dJ908M14.2
CABLES2	ik3-2
CABLES2	C20orf150
CABP1	
CABP2	DFNB93
CABP4	CSNB2B
CABP5	CaBP3
CABP5	CABP3
CABP7	MGC57793
CABS1	NYD-SP26
CABS1	FLJ32897
CABS1	CLPH
CABS1	C4orf35
CABYR	FSP-2
CABYR	CBP86
CABYR	CT88
CABYRP1	CABYRP
CACFD1	D9S2135
CACFD1	flower
CACFD1	C9orf7
CACHD1	KIAA1573
CACHD1	VWCD1
CACNA1A	Cav2.1
CACNA1A	EA2
CACNA1A	APCA
CACNA1A	HPCA
CACNA1A	FHM
CACNA1A	CACNL1A4
CACNA1A	SCA6
CACNA1A	MHP1
CACNA1A	MHP
CACNA1B	Cav2.2
CACNA1B	CACNN
CACNA1B	CACNL1A5
CACNA1C	Cav1.2
CACNA1C	CACH2
CACNA1C	CACN2
CACNA1C	TS
CACNA1C	LQT8
CACNA1C	CCHL1A1
CACNA1C	CACNL1A1
CACNA1C-AS1	
CACNA1C-AS2	
CACNA1C-AS3	
CACNA1C-AS4	
CACNA1C-IT1	
CACNA1C-IT2	
CACNA1C-IT3	
CACNA1D	Cav1.3
CACNA1D	CACH3
CACNA1D	CACN4
CACNA1D	CCHL1A2
CACNA1D	CACNL1A2
CACNA1E	Cav2.3
CACNA1E	BII
CACNA1E	CACH6
CACNA1E	CACNL1A6
CACNA1F	Cav1.4
CACNA1F	JM8
CACNA1F	JMC8
CACNA1F	CSNBX2
CACNA1F	CORDX3
CACNA1F	CSNB2A
CACNA1F	OA2
CACNA1F	CSNB2
CACNA1F	AIED
CACNA1G	Cav3.1
CACNA1G	NBR13
CACNA1G-AS1	CAS1
CACNA1H	Cav3.2
CACNA1I	Cav3.3
CACNA1S	Cav1.1
CACNA1S	hypoPP
CACNA1S	HOKPP
CACNA1S	MHS5
CACNA1S	CACNL1A3
CACNA2D1	lncRNA-N3
CACNA2D1	CACNL2A
CACNA2D1	CACNA2
CACNA2D1	MHS3
CACNA2D1	LINC01112
CACNA2D1-AS1	
CACNA2D2	KIAA0558
CACNA2D3	HSA272268
CACNA2D3-AS1	
CACNA2D4	
CACNB1	CACNLB1
CACNB2	MYSB
CACNB2	CACNLB2
CACNB3	CACNLB3
CACNB4	EJM4
CACNG1	CACNLG
CACNG2	stargazin
CACNG2	MGC138502
CACNG2	MGC138504
CACNG3	
CACNG4	MGC11138
CACNG4	MGC24983
CACNG5	
CACNG6	
CACNG7	
CACNG8	
CACTIN	NY-REN-24
CACTIN	fSAPc
CACTIN	C19orf29
CACTIN-AS1	C19orf29OS
CACTIN-AS1	C19orf29-AS1
CACUL1	FLJ40409
CACUL1	MGC33215
CACUL1	CAC1
CACUL1	C10orf46
CACYBP	SIP
CACYBP	S100A6BP
CACYBPP1	
CACYBPP2	
CACYBPP3	
CAD	GATD4
CADM1	NECL2
CADM1	ST17
CADM1	BL2
CADM1	SYNCAM
CADM1	IGSF4A
CADM1	Necl-2
CADM1	SYNCAM1
CADM1	RA175
CADM1	TSLC1
CADM1	IGSF4
CADM2	NECL3
CADM2	Necl-3
CADM2	SynCAM2
CADM2	IGSF4D
CADM2-AS1	
CADM2-AS2	
CADM3	BIgR
CADM3	FLJ10698
CADM3	TSLL1
CADM3	NECL1
CADM3	SynCAM3
CADM3	Necl-1
CADM3	IGSF4B
CADM3-AS1	CTA-134P22.2
CADM4	TSLL2
CADM4	Necl-4
CADM4	SynCAM4
CADM4	IGSF4C
CADPS	CAPS
CADPS	KIAA1121
CADPS	CAPS1
CADPS	UNC-31
CADPS2	CAPS2
CAGE1	bA69L16.7
CAGE1	CT95
CAGE1	CTAG3
CAHM	LINC00468
CALB1	CALB
CALB2	CAL2
CALCA	CGRP
CALCA	CGRP-alpha
CALCA	CALC1
CALCB	FLJ30166
CALCB	CGRP-II
CALCB	CALC2
CALCOCO1	KIAA1536
CALCOCO1	calphoglin
CALCOCO1	Cocoa
CALCOCO2	MGC17318
CALCOCO2	NDP52
CALCP	CALC3
CALCR	CTR
CALCRL	CGRPR
CALCRL	CRLR
CALD1	CDM
CALD1	H-CAD
CALD1	L-CAD
CALHM1	FAM26C
CALHM2	FAM26B
CALHM3	bA225H22.7
CALHM3	FAM26A
CALHM4	FLJ32239
CALHM4	C6orf78
CALHM4	FAM26D
CALHM5	dJ493F7.3
CALHM5	MGC45451
CALHM5	C6orf188
CALHM5	FAM26E
CALHM6	RP1-93H18.5
CALHM6	OTTHUMP00000017061
CALHM6	OTTHUMP00000017062
CALHM6	dJ93H18.5
CALHM6	INAM
CALHM6	C6orf187
CALHM6	FAM26F
CALHM6-AS1	RP1-93H18.6
CALM1	CAMI
CALM1	PHKD
CALM1	DD132
CALM1	CALML2
CALM1P1	CALML1
CALM1P2	TCAG_1643085
CALM2	PHKD
CALM2	CAMII
CALM2P1	
CALM2P2	
CALM2P3	
CALM2P4	
CALM3	PHKD
CALML3	CLP
CALML3-AS1	
CALML4	MGC4809
CALML4	NY-BR-20
CALML5	CLSP
CALML6	CAGLP
CALN1	CABP8
CALR	RO
CALR	SSA
CALR	cC1qR
CALR	CRT
CALR	FLJ26680
CALR3	CRT2
CALR3	FLJ25355
CALR3	MGC26577
CALR3	CT93
CALR4P	
CALU	
CALY	CALCYON
CALY	NSG3
CALY	DRD1IP
CAMK1	CaMKI
CAMK1	CaMKI-alpha
CAMK1D	CKLiK
CAMK1G	VWS1
CAMK1G	CLICKIII
CAMK1G	dJ272L16.1
CAMK2A	KIAA0968
CAMK2A	CaMKIINalpha
CAMK2A	CaMKIIα
CAMK2A	CAMKA
CAMK2B	CAM2
CAMK2B	CAMK2
CAMK2B	CaMKIIβ
CAMK2B	CAMKB
CAMK2D	CAMKD
CAMK2G	CAMKG
CAMK2N1	CaMKIINalpha
CAMK2N2	CaM-KIIN
CAMK4	CaMK-GR
CAMK4	CaMKIV
CAMKK1	DKFZp761M0423
CAMKK1	CAMKKA
CAMKK1	MGC34095
CAMKK2	CAMKK
CAMKK2	KIAA0787
CAMKK2	CAMKKB
CAMKK2	MGC15254
CAMKMT	CLNMT
CAMKMT	C2orf34
CAMKV	MGC8407
CAMKV	VACAMKL
CAMLG	CAML
CAMLG	GET2
CAMP	CAP18
CAMP	FALL39
CAMP	FALL-39
CAMP	LL37
CAMSAP1	FLJ31228
CAMSAP1	DKFZp434F195
CAMSAP2	KIAA1078
CAMSAP2	CAMSAP1L1
CAMSAP3	Nezha
CAMSAP3	PPP1R80
CAMSAP3	KIAA1543
CAMTA1	KIAA0833
CAMTA1-AS1	
CAMTA1-AS2	
CAMTA1-DT	lncCAMTA1
CAMTA1-IT1	
CAMTA2	KIAA0909
CAMTA2-AS1	
CAND1	TIP120A
CAND1	DKFZp434M1414
CAND1	KIAA0829
CAND1	TIP120
CAND2	TIP120B
CAND2	KIAA0667
CAND2	Tp120b
CANT1	SHAPY
CANT1	SCAN-1
CANX	CNX
CANX	IP90
CANX	P90
CAP1	CAP
CAP1P1	
CAP1P2	
CAP2	
CAP2P1	
CAPG	MCP
CAPG	AFCP
CAPN1	muCANP
CAPN1	muCL
CAPN1	CANP
CAPN1	CANPL1
CAPN10	
CAPN10-DT	locus959
CAPN10-DT	CAPN10-AS1
CAPN11	
CAPN12	
CAPN13	FLJ23523
CAPN14	
CAPN15	SOLH
CAPN2	mCANP
CAPN2	CANPml
CAPN2	CANPL2
CAPN3	CANP3
CAPN3	p94
CAPN3	nCL-1
CAPN3	LGMD2
CAPN3	LGMD2A
CAPN5	nCL-3
CAPN5	HTRA3
CAPN5	ADNIV
CAPN5	VRNI
CAPN6	CAPNX
CAPN6	CalpM
CAPN6	CANPX
CAPN7	PalBH
CAPN8	nCL-2
CAPN9	nCL-4
CAPN9	GC36
CAPNS1	CANP
CAPNS1	CANPS
CAPNS1	30K
CAPNS1	CDPS
CAPNS1	CAPN4
CAPNS1P1	
CAPNS2	MGC12536
CAPNS2	MGC14804
CAPRIN1	caprin-1
CAPRIN1	RNG105
CAPRIN1	M11S1
CAPRIN1	GPIAP1
CAPRIN2	EEG1
CAPRIN2	FLJ22569
CAPRIN2	FLJ11391
CAPRIN2	caprin-2
CAPRIN2	RNG140
CAPRIN2	C1QDC1
CAPS	CAPS1
CAPS	MGC126562
CAPS2	
CAPS2-AS1	
CAPSL	MGC26610
CAPZA1	
CAPZA1P1	CAPZA1P
CAPZA1P2	
CAPZA1P3	
CAPZA1P4	
CAPZA1P5	
CAPZA2	CAPZ
CAPZA2	CAPPA2
CAPZA3	Gsg3
CAPZA3	CAPPA3
CAPZB	
CAPZBP1	
CARD10	CARMA3
CARD10	BIMP1
CARD11	CARMA1
CARD11	BIMP3
CARD11-AS1	
CARD14	CARMA2
CARD14	BIMP2
CARD14	PSORS2
CARD16	COP1
CARD16	COP
CARD16	PSEUDO-ICE
CARD17	INCA
CARD18	UNQ5804
CARD18	ICEBERG
CARD18	pseudo-ICE
CARD19	MGC11115
CARD19	bA370F5.1
CARD19	BinCARD
CARD19	C9orf89
CARD6	CINCIN1
CARD8	TUCAN
CARD8	KIAA0955
CARD8	CARDINAL
CARD8	NDPP
CARD8	Dakar
CARD8-AS1	LOC100505812
CARD8-AS1	AC008392.1
CARD9	
CARF	FLJ21579
CARF	NYD-SP24
CARF	ALS2CR8
CARHSP1	CRHSP-24
CARHSP1	CSDC1
CARHSP1-DT	
CARM1	PRMT4
CARM1P1	CARM1L
CARMAL	RP11-326A19.4
CARMIL1	dJ501N12.1
CARMIL1	FLJ20048
CARMIL1	CARMIL
CARMIL1	LRRC16
CARMIL1	LRRC16A
CARMIL2	LRRC16C
CARMIL2	RLTPR
CARMIL3	BC008134
CARMIL3	crml-1
CARMIL3	C14orf121
CARMIL3	LRRC16B
CARMN	CARMEN
CARMN	MIR143HG
CARNMT1	FLJ25795
CARNMT1	C9orf41
CARNMT1-AS1	C9orf41-AS1
CARNS1	KIAA1394
CARNS1	ATPGD1
CARS1	CARS
CARS1-AS1	CARS-AS1
CARS1P1	CARSP1
CARS1P2	CARSP2
CARS2	FLJ12118
CARTPT	CART
CASC11	TCONS_00014535
CASC11	LINC00990
CASC11	CARLo-7
CASC11	ENST00000518376
CASC11	MYMLR
CASC15	lnc-SOX4-1
CASC15	LINC00340
CASC16	LOC643714
CASC16	LINC00918
CASC17	LINC00600
CASC18	LOC101929110
CASC19	CARLo-6
CASC19	LINC01245
CASC2	C10orf5
CASC20	
CASC21	CARLo-2
CASC21	LINC01244
CASC22	TCONS_00024290
CASC22	LincRNA-ENST00000515084
CASC22	LINC01373
CASC23	LINC01464
CASC3	MLN51
CASC3	BTZ
CASC4P1	
CASC6	
CASC8	LINC00860
CASC8	CARLo-1
CASC9	LINC00981
CASC9	ESCCAL-1
CASC9	linc-JPH1
CASD1	FLJ21213
CASD1	FLJ21879
CASD1	C7orf12
CASK	LIN2
CASK	CAGH39
CASK	FGS4
CASK	TNRC8
CASK-AS1	
CASKIN1	KIAA1306
CASKIN1	ANKS5A
CASKIN2	KIAA1139
CASKIN2	FLJ21609
CASKIN2	ANKS5B
CASKP1	CASKP
CASP1	ICE
CASP1	IL1BC
CASP10	MCH4
CASP10	FLICE-2
CASP12	CASP12P1
CASP14	MICE
CASP14	MGC119078
CASP14	MGC119079
CASP16P	CASP16
CASP1P1	
CASP1P2	
CASP1P3	
CASP2	ICH1
CASP2	PPP1R57
CASP2	MGC2181
CASP2	NEDD2
CASP3	CPP32
CASP3	CPP32B
CASP3	Yama
CASP3	apopain
CASP3P1	
CASP4	ICE(rel)II
CASP4	ICH-2
CASP4	TX
CASP4LP	CASP17P
CASP5	ICE(rel)III
CASP6	MCH2
CASP7	MCH3
CASP7	CMH-1
CASP7	ICE-LAP3
CASP8	MCH5
CASP8	MACH
CASP8	FLICE
CASP8	Casp-8
CASP8AP2	FLASH
CASP8AP2	CED-4
CASP8AP2	RIP25
CASP8AP2	FLJ11208
CASP8AP2	KIAA1315
CASP9	MCH6
CASP9	ICE-LAP6
CASP9	APAF-3
CASP9	PPP1R56
CASQ1	PDIB1
CASQ1	CASQ
CASQ2	PDIB2
CASR	FHH
CASR	NSHPT
CASR	GPRC2A
CASR	HHC
CASR	HHC1
CASS4	HEFL
CASS4	HEPL
CASS4	C20orf32
CAST	
CASTOR1	GATSL3
